Model,cosine_similarity,euclidean_distance,manhattan_distance,minkowski_distance,correlation_coefficient,TOPSIS_Score
sentence-transformers/paraphrase-MiniLM-L6-v2,0,0.4092309,0.2810175,0.425890581,0,1.787608902
microsoft/mpnet-base,0.990447,0,0,0,0.990275031,1.732104453
squeezebert/squeezebert-uncased,0.8671684,0.019993791,0.022505505,0.014153512,0.867125799,1.709707792
roberta-base,1,0.055841796,0.05486184,0.051494689,1,1.638408734
allenai/longformer-base-4096,0.9994491,0.06777981,0.06621932,0.063085234,0.999447581,1.618267816
vinai/phobert-base,0.9304313,0.0825578,0.083695956,0.074267994,0.927992269,1.596345188
google/electra-small-discriminator,0.9062845,0.14667538,0.055560466,0.185284613,0.904598728,1.51715988
distilbert-base-uncased,0.935426,0.17142645,0.18669899,0.149682078,0.935307638,1.442008372
bert-base-uncased,0.8961368,0.25622672,0.26916122,0.231462521,0.89593294,1.303683773
deepset/sentence_bert,0.6237736,0.8818205,0.92236984,0.809787304,0.623160154,0.582862161
facebook/bart-base,0.890764,1,1,1,0.890420672,0.154725994
